> 2MASS Tully-Fisher Survey
> Hong, T., Staveley-Smith, L., Masters, K. L., Springob, C. M., 
> acri, L. M., Koribalski, B. S., Jones, D. H., Jarrett, T. H., 
> Crook, A. C. 2013, MNRAS, arXiv:1304.0882
>
> ASCII Table
> Generated by Tao Hong  Sun May 12 2013
>
> Telescope:      Parkes telescope with MX mode
> Beam size:      14.0 [arcminutes]
> Object:         2MASS J00301223-4106041
> RA:               7.5510  (J2000) decimal degrees
> DEC:            -41.1011  (J2000) decimal degrees
> Rest Frequency: 1420.4058 [MHz]
> Bandwidth:      8 [MHz]
> Channels:       1024
> HI Archive at http://ict.icrar.org/2MTF/
>
The spectrum is not baselined. Not smoothed either.i ******
  Frequency     Velocity-HEL    Flux Density ***
     MHz            km/s             mJy     ***
  1379.3517      8922.8065          1.9050
  1379.3595      8921.0579          7.0285
  1379.3673      8919.3093          4.7407
  1379.3752      8917.5608          9.9522
  1379.3830      8915.8123          7.7075
  1379.3908      8914.0637          6.1070
  1379.3986      8912.3153          7.9900
  1379.4064      8910.5668         11.5985
  1379.4142      8908.8183         10.8003
  1379.4220      8907.0699          8.5110
  1379.4299      8905.3215          9.3589
  1379.4377      8903.5731          7.2603
  1379.4455      8901.8247         12.1676
  1379.4533      8900.0764         -0.2053
  1379.4611      8898.3281          4.2862
  1379.4689      8896.5797         17.8359
  1379.4767      8894.8314          8.5744
  1379.4845      8893.0832         11.2774
  1379.4924      8891.3349         16.0168
  1379.5002      8889.5867          7.9480
  1379.5080      8887.8385          8.6067
  1379.5158      8886.0903          7.0426
  1379.5236      8884.3421          5.9177
  1379.5314      8882.5940          9.5766
  1379.5392      8880.8458         14.1686
  1379.5470      8879.0977          6.0783
  1379.5549      8877.3496          8.1168
  1379.5627      8875.6015          4.8747
  1379.5705      8873.8535          5.8337
  1379.5783      8872.1055          3.0129
  1379.5861      8870.3574         11.5697
  1379.5939      8868.6094         12.7267
  1379.6017      8866.8615         10.1411
  1379.6095      8865.1135          5.0429
  1379.6174      8863.3656          5.5188
  1379.6252      8861.6177         11.0283
  1379.6330      8859.8698          9.3136
  1379.6408      8858.1219         19.7925
  1379.6486      8856.3740         13.3179
  1379.6564      8854.6262         14.7673
  1379.6642      8852.8784          9.7072
  1379.6720      8851.1306         10.4719
  1379.6799      8849.3828          8.7789
  1379.6877      8847.6351         15.2020
  1379.6955      8845.8873         15.4570
  1379.7033      8844.1396          9.5161
  1379.7111      8842.3919         14.3924
  1379.7189      8840.6442          7.2596
  1379.7267      8838.8966         19.2969
  1379.7345      8837.1489         14.1432
  1379.7424      8835.4013          8.4060
  1379.7502      8833.6537         15.1545
  1379.7580      8831.9061         16.7507
  1379.7658      8830.1586         24.7099
  1379.7736      8828.4110         13.4256
  1379.7814      8826.6635         15.6761
  1379.7892      8824.9160         12.1531
  1379.7971      8823.1685         16.1676
  1379.8049      8821.4211         15.3295
  1379.8127      8819.6736          7.0472
  1379.8205      8817.9262         15.2464
  1379.8283      8816.1788         16.1049
  1379.8361      8814.4314         12.8115
  1379.8439      8812.6841         15.9517
